Customer No.,Exposure at Default (in lakh Rs.),Recovery (%),Probability of Default,
1639,12.29,34.63%,0.0073,0.0586480029
1639 Sum,,,,0.0586480029
1640,8.12,30.48%,0.0019,0.0107255456
1640 Sum,,,,0.0107255456
1641,24.38,14.65%,0.0046,0.095718318
1641 Sum,,,,0.095718318
1642,7.3,20.12%,0.0044,0.025657456
1642 Sum,,,,0.025657456
1643,10.34,12.71%,0.0046,0.0415186156
1643 Sum,,,,0.0415186156
1644,19.47,35.21%,0.0024,0.0302750712
1644 Sum,,,,0.0302750712
1645,5.23,32.13%,0.0043,0.0152632843
1645 Sum,,,,0.0152632843
1646,24.77,9.92%,0.0019,0.0423943504
1646 Sum,,,,0.0423943504
1647,4.97,4.91%,0.0029,0.0137053217
1647 Sum,,,,0.0137053217
1648,13.54,20.19%,0.0023,0.0248544302
1648 Sum,,,,0.0248544302
1649,14.93,24.00%,0.002,0.0226936
1649 Sum,,,,0.0226936
1650,9.9,16.69%,0.002,0.01649538
1650 Sum,,,,0.01649538
1651,21.01,37.11%,0.0012,0.0158558268
1651 Sum,,,,0.0158558268
1652,3.75,2.57%,0.0062,0.022652475
1652 Sum,,,,0.022652475
1653,15.01,5.33%,0.0051,0.0724708317
1653 Sum,,,,0.0724708317
1654,3.67,13.09%,0.0076,0.0242409372
1654 Sum,,,,0.0242409372
1655,24.16,18.60%,0.0014,0.027532736
1655 Sum,,,,0.027532736
1656,8.66,37.13%,0.0065,0.035389523
1656 Sum,,,,0.035389523
1657,15.26,34.01%,0.0005,0.005035037
1657 Sum,,,,0.005035037
1658,3.35,39.77%,0.0057,0.0115009185
1658 Sum,,,,0.0115009185
1659,0.02,28.19%,0.0089,0.0001278218
1659 Sum,,,,0.0001278218
1660,3.41,4.41%,0.0087,0.0283586853
1660 Sum,,,,0.0283586853
1661,20.68,14.95%,0.0084,0.147742056
1661 Sum,,,,0.147742056
1662,21.8,2.49%,0.0056,0.119040208
1662 Sum,,,,0.119040208
1663,19.75,17.03%,0.0009,0.0147479175
1663 Sum,,,,0.0147479175
1664,20.45,3.43%,0.0001,0.0019748565
1664 Sum,,,,0.0019748565
1665,8.53,32.96%,0.0045,0.025733304
1665 Sum,,,,0.025733304
1666,0.07,7.02%,0.0083,0.0005402138
1666 Sum,,,,0.0005402138
1667,15.91,26.35%,0.0005,0.0058588575
1667 Sum,,,,0.0058588575
1668,5.94,7.68%,0.0019,0.0104192352
1668 Sum,,,,0.0104192352
1669,17.57,5.03%,0.0073,0.1218094717
1669 Sum,,,,0.1218094717
1670,16.99,23.63%,0.0087,0.1128847881
1670 Sum,,,,0.1128847881
1671,9.98,34.40%,0.0021,0.013748448
1671 Sum,,,,0.013748448
1672,11.75,18.26%,0.0056,0.05378492
1672 Sum,,,,0.05378492
1673,7.39,2.58%,0.0025,0.017998345
1673 Sum,,,,0.017998345
1674,7.09,21.18%,0.0012,0.0067060056
1674 Sum,,,,0.0067060056
1675,13.64,39.04%,0.007,0.058204608
1675 Sum,,,,0.058204608
1676,15.31,28.62%,0.0017,0.0185780726
1676 Sum,,,,0.0185780726
1677,9.35,36.16%,0.0012,0.007162848
1677 Sum,,,,0.007162848
1678,17.33,38.17%,0.0013,0.0139296807
1678 Sum,,,,0.0139296807
1679,10.35,30.45%,0.0031,0.0223151175
1679 Sum,,,,0.0223151175
1680,12.14,25.21%,0.0045,0.040857777
1680 Sum,,,,0.040857777
1681,12.49,19.63%,0.0021,0.0210802473
1681 Sum,,,,0.0210802473
1682,23.9,11.58%,0.0017,0.035925046
1682 Sum,,,,0.035925046
1683,18.48,10.32%,0.0011,0.0182301504
1683 Sum,,,,0.0182301504
1684,1.56,27.69%,0.0076,0.0085730736
1684 Sum,,,,0.0085730736
1685,6.04,18.21%,0,0
1685 Sum,,,,0
1686,22.04,25.26%,0.0003,0.0049418088
1686 Sum,,,,0.0049418088
1687,19.31,23.59%,0.0071,0.1047588741
1687 Sum,,,,0.1047588741
1688,7.4,39.15%,0.006,0.0270174
1688 Sum,,,,0.0270174
1689,7.68,4.46%,0.0067,0.0491610624
1689 Sum,,,,0.0491610624
1690,6.53,18.98%,0.0003,0.0015871818
1690 Sum,,,,0.0015871818
1691,21.03,7.77%,0.0027,0.0523691163
1691 Sum,,,,0.0523691163
1692,4.49,24.27%,0.0024,0.0081606648
1692 Sum,,,,0.0081606648
1693,6.54,2.78%,0.005,0.03179094
1693 Sum,,,,0.03179094
1694,9.12,38.64%,0.0003,0.0016788096
1694 Sum,,,,0.0016788096
1695,21.35,15.70%,0.0083,0.149383815
1695 Sum,,,,0.149383815
1696,3.84,25.61%,0.004,0.011426304
1696 Sum,,,,0.011426304
1697,13.8,26.25%,0.0048,0.048852
1697 Sum,,,,0.048852
1698,24.14,21.23%,0.0005,0.009507539
1698 Sum,,,,0.009507539
1699,14.92,30.56%,0.0017,0.0176127616
1699 Sum,,,,0.0176127616
1700,14.32,21.26%,0.0075,0.08456676
1700 Sum,,,,0.08456676
1701,18.32,37.18%,0.0055,0.063297432
1701 Sum,,,,0.063297432
1702,10.55,22.93%,0.005,0.040654425
1702 Sum,,,,0.040654425
1703,6.29,8.76%,0.0077,0.0441902692
1703 Sum,,,,0.0441902692
1704,22.9,13.68%,0.0012,0.023720736
1704 Sum,,,,0.023720736
1705,2.39,7.70%,0.0017,0.003750149
1705 Sum,,,,0.003750149
1706,22.49,37.38%,0.0085,0.119707523
1706 Sum,,,,0.119707523
1707,5.84,39.60%,0.0071,0.025044256
1707 Sum,,,,0.025044256
1708,17.52,26.17%,0.0099,0.1280566584
1708 Sum,,,,0.1280566584
1709,17.62,30.30%,0.003,0.03684342
1709 Sum,,,,0.03684342
1710,6.37,38.91%,0.0013,0.0050588629
1710 Sum,,,,0.0050588629
1711,22.04,8.01%,0.0078,0.1581418488
1711 Sum,,,,0.1581418488
1712,15.26,6.74%,0.0081,0.1152749556
1712 Sum,,,,0.1152749556
1713,14.36,5.28%,0.0029,0.0394451968
1713 Sum,,,,0.0394451968
1714,13.23,31.72%,0.0011,0.0099367884
1714 Sum,,,,0.0099367884
1715,20.41,39.86%,0.0045,0.055235583
1715 Sum,,,,0.055235583
1716,1.4,30.98%,0.0045,0.00434826
1716 Sum,,,,0.00434826
1717,12.48,1.88%,0.0095,0.116331072
1717 Sum,,,,0.116331072
1718,16.99,27.49%,0.0051,0.0628291899
1718 Sum,,,,0.0628291899
1719,1.55,13.65%,0.0058,0.007762865
1719 Sum,,,,0.007762865
1720,5.99,32.01%,0.0026,0.0105887626
1720 Sum,,,,0.0105887626
1721,18.62,1.42%,0.0042,0.0770935032
1721 Sum,,,,0.0770935032
1722,21.88,29.03%,0.0058,0.0900637688
1722 Sum,,,,0.0900637688
1723,23.59,13.98%,0.0048,0.0974021664
1723 Sum,,,,0.0974021664
1724,21.4,22.02%,0.0068,0.113476496
1724 Sum,,,,0.113476496
1725,11.63,37.85%,0.0067,0.0484279015
1725 Sum,,,,0.0484279015
1726,12.41,0.62%,0.0054,0.0665985132
1726 Sum,,,,0.0665985132
1727,10.42,39.74%,0.0083,0.0521164636
1727 Sum,,,,0.0521164636
1728,5.08,18.96%,0.0071,0.0292295072
1728 Sum,,,,0.0292295072
1729,10.44,16.38%,0.0087,0.0759503736
1729 Sum,,,,0.0759503736
1730,20.92,8.86%,0.0042,0.0800792496
1730 Sum,,,,0.0800792496
1731,4.52,19.74%,0.0012,0.0043533024
1731 Sum,,,,0.0043533024
1732,9.17,37.63%,0.0054,0.0308843766
1732 Sum,,,,0.0308843766
1733,15.92,19.47%,0.0064,0.0820504064
1733 Sum,,,,0.0820504064
1734,0.4,39.45%,0.0057,0.00138054
1734 Sum,,,,0.00138054
1735,15.01,13.79%,0.0081,0.1048149801
1735 Sum,,,,0.1048149801
1736,10.63,6.77%,0.0036,0.0356772564
1736 Sum,,,,0.0356772564
1737,3.32,36.47%,0.0091,0.0191936836
1737 Sum,,,,0.0191936836
1738,16.02,34.45%,0.0063,0.066156993
1738 Sum,,,,0.066156993
1739,11.78,7.73%,0.0045,0.048912327
1739 Sum,,,,0.048912327
1740,15.35,36.14%,0.0055,0.053913805
1740 Sum,,,,0.053913805
1741,22.95,29.03%,0.0027,0.0439765605
1741 Sum,,,,0.0439765605
1742,10.39,31.70%,0.0027,0.019160199
1742 Sum,,,,0.019160199
1743,10.84,31.02%,0.0019,0.0142071208
1743 Sum,,,,0.0142071208
1744,2.66,5.64%,0.0044,0.0110438944
1744 Sum,,,,0.0110438944
1745,11.08,31.77%,0.0027,0.0204116868
1745 Sum,,,,0.0204116868
1746,16.71,6.95%,0.0008,0.012438924
1746 Sum,,,,0.012438924
1747,11.7,15.97%,0.0043,0.042275493
1747 Sum,,,,0.042275493
1748,0.71,4.77%,0.0071,0.0048005443
1748 Sum,,,,0.0048005443
1749,9.05,3.63%,0.0088,0.076749068
1749 Sum,,,,0.076749068
1750,15.16,5.20%,0.0035,0.05030088
1750 Sum,,,,0.05030088
1751,2.79,22.55%,0.0078,0.016854669
1751 Sum,,,,0.016854669
1752,23.88,28.09%,0.0015,0.025758162
1752 Sum,,,,0.025758162
1753,1.33,29.49%,0.0064,0.0060018112
1753 Sum,,,,0.0060018112
1754,1.27,11.42%,0.0075,0.008437245
1754 Sum,,,,0.008437245
1755,18.9,16.63%,0.0081,0.127631133
1755 Sum,,,,0.127631133
1756,14.84,22.28%,0.0085,0.098036008
1756 Sum,,,,0.098036008
1757,15.79,25.65%,0.0058,0.068091217
1757 Sum,,,,0.068091217
1758,8.38,14.24%,0.0027,0.0194040576
1758 Sum,,,,0.0194040576
1759,1.4,3.16%,0.0097,0.013150872
1759 Sum,,,,0.013150872
1760,11.99,14.16%,0.002,0.020584432
1760 Sum,,,,0.020584432
1761,11.22,0.84%,0.009,0.100131768
1761 Sum,,,,0.100131768
1762,22.42,33.14%,0.0005,0.007495006
1762 Sum,,,,0.007495006
1763,15.29,19.08%,0.0011,0.0136099348
1763 Sum,,,,0.0136099348
1764,23.16,23.98%,0.0004,0.0070424928
1764 Sum,,,,0.0070424928
1765,17.4,7.92%,0.0009,0.014419728
1765 Sum,,,,0.014419728
1766,0.54,34.81%,0.0064,0.0022529664
1766 Sum,,,,0.0022529664
1767,20.17,30.39%,0.0062,0.0870500894
1767 Sum,,,,0.0870500894
1768,23.3,22.79%,0.0045,0.080954685
1768 Sum,,,,0.080954685
1769,11.69,11.17%,0.0063,0.0654206301
1769 Sum,,,,0.0654206301
1770,22.23,18.05%,0.0011,0.0200392335
1770 Sum,,,,0.0200392335
1771,5.45,12.00%,0.0009,0.0043164
1771 Sum,,,,0.0043164
1772,12.92,38.68%,0.0098,0.0776409312
1772 Sum,,,,0.0776409312
1773,10.48,15.12%,0.0092,0.0818379008
1773 Sum,,,,0.0818379008
1774,22.66,23.82%,0.0019,0.0327985372
1774 Sum,,,,0.0327985372
1775,18.42,35.77%,0.0037,0.0437753142
1775 Sum,,,,0.0437753142
1776,0.33,3.98%,0.0013,0.0004119258
1776 Sum,,,,0.0004119258
1777,5.3,34.54%,0.0004,0.001387752
1777 Sum,,,,0.001387752
1778,18.79,5.50%,0.0088,0.15625764
1778 Sum,,,,0.15625764
1779,0.63,15.40%,0.0019,0.001012662
1779 Sum,,,,0.001012662
1780,16.12,27.90%,0.0024,0.027894048
1780 Sum,,,,0.027894048
1781,22.02,35.79%,0.0093,0.1314930906
1781 Sum,,,,0.1314930906
1782,10.07,12.79%,0.0038,0.0333717786
1782 Sum,,,,0.0333717786
1783,11.04,7.34%,0.0056,0.0572861184
1783 Sum,,,,0.0572861184
1784,8.55,26.56%,0.0006,0.003767472
1784 Sum,,,,0.003767472
1785,11.39,12.66%,0.0077,0.0765998002
1785 Sum,,,,0.0765998002
1786,17.09,32.50%,0.0062,0.07152165
1786 Sum,,,,0.07152165
1787,9.43,4.96%,0.0075,0.06721704
1787 Sum,,,,0.06721704
1788,14,23.00%,0.0097,0.104566
1788 Sum,,,,0.104566
1789,21.29,24.58%,0.0021,0.0337195278
1789 Sum,,,,0.0337195278
1790,6.56,37.29%,0.0085,0.034967096
1790 Sum,,,,0.034967096
1791,14.23,22.75%,0.0069,0.0758494575
1791 Sum,,,,0.0758494575
1792,24.24,16.13%,0.0011,0.0223630968
1792 Sum,,,,0.0223630968
1793,9.12,15.54%,0.0071,0.0546895392
1793 Sum,,,,0.0546895392
1794,12.98,26.27%,0.0038,0.0363665852
1794 Sum,,,,0.0363665852
1795,0.27,37.79%,0.0092,0.0015452964
1795 Sum,,,,0.0015452964
1796,14.7,15.41%,0.0018,0.022382514
1796 Sum,,,,0.022382514
1797,10.18,6.47%,0.0013,0.0123777602
1797 Sum,,,,0.0123777602
1798,8.51,31.23%,0.0007,0.0040966289
1798 Sum,,,,0.0040966289
1799,5.32,31.60%,0.0019,0.006913872
1799 Sum,,,,0.006913872
1800,4.28,39.09%,0.0057,0.0148596036
1800 Sum,,,,0.0148596036
1801,0.12,35.61%,0.0037,0.0002858916
1801 Sum,,,,0.0002858916
1802,7.71,30.82%,0.0006,0.0032002668
1802 Sum,,,,0.0032002668
1803,15.41,30.18%,0.0072,0.0774666864
1803 Sum,,,,0.0774666864
1804,2.19,27.56%,0.0021,0.0033315156
1804 Sum,,,,0.0033315156
1805,15.73,30.53%,0.0091,0.0994414421
1805 Sum,,,,0.0994414421
1806,16.64,20.36%,0.0053,0.0702361088
1806 Sum,,,,0.0702361088
1807,16.1,21.95%,0.0091,0.114351055
1807 Sum,,,,0.114351055
1808,20.69,9.31%,0.0041,0.0769314201
1808 Sum,,,,0.0769314201
1809,19.99,35.66%,0.0013,0.0167200358
1809 Sum,,,,0.0167200358
1810,14.82,19.49%,0.0014,0.0167042148
1810 Sum,,,,0.0167042148
1811,12.55,26.76%,0.0039,0.035847318
1811 Sum,,,,0.035847318
1812,0.09,30.74%,0.0035,0.000218169
1812 Sum,,,,0.000218169
1813,2.27,4.93%,0.002,0.004316178
1813 Sum,,,,0.004316178
1814,13.41,2.43%,0.0021,0.0274766877
1814 Sum,,,,0.0274766877
1815,4.28,24.50%,0.0066,0.02132724
1815 Sum,,,,0.02132724
1816,6.54,13.27%,0.0053,0.0300623526
1816 Sum,,,,0.0300623526
1817,5.38,19.08%,0.0019,0.0082716424
1817 Sum,,,,0.0082716424
1818,13.28,24.87%,0.0063,0.0628567632
1818 Sum,,,,0.0628567632
1819,20.65,15.86%,0.0036,0.062549676
1819 Sum,,,,0.062549676
1820,8.69,36.15%,0.0017,0.0094325605
1820 Sum,,,,0.0094325605
1821,21.55,7.51%,0.0012,0.023917914
1821 Sum,,,,0.023917914
1822,21.96,17.11%,0.0001,0.0018202644
1822 Sum,,,,0.0018202644
1823,13.23,12.65%,0.005,0.057782025
1823 Sum,,,,0.057782025
1824,10.99,16.21%,0.0053,0.0488051613
1824 Sum,,,,0.0488051613
1825,21.13,24.77%,0.0069,0.1096830831
1825 Sum,,,,0.1096830831
1826,1.27,17.57%,0.0001,0.0001046861
1826 Sum,,,,0.0001046861
1827,9.32,22.62%,0.0028,0.0201930848
1827 Sum,,,,0.0201930848
1828,4.09,0.75%,0.0055,0.0223262875
1828 Sum,,,,0.0223262875
1829,1.15,30.49%,0.002,0.00159873
1829 Sum,,,,0.00159873
1830,7.66,20.38%,0.0091,0.0554999172
1830 Sum,,,,0.0554999172
1831,5.12,28.36%,0.0048,0.0176062464
1831 Sum,,,,0.0176062464
1832,7.95,10.78%,0.0086,0.060999714
1832 Sum,,,,0.060999714
1833,12.49,38.29%,0.0005,0.0038537895
1833 Sum,,,,0.0038537895
1834,10.68,34.89%,0.0047,0.0326826156
1834 Sum,,,,0.0326826156
1835,15.47,25.52%,0.0062,0.0714367472
1835 Sum,,,,0.0714367472
1836,13.85,19.83%,0.0093,0.1032629685
1836 Sum,,,,0.1032629685
1837,5.84,3.07%,0.0054,0.0305678448
1837 Sum,,,,0.0305678448
1838,1.91,30.53%,0.0061,0.0080939497
1838 Sum,,,,0.0080939497
1839,5.39,17.95%,0.0096,0.042455952
1839 Sum,,,,0.042455952
1840,19.63,14.96%,0.0046,0.0767894192
1840 Sum,,,,0.0767894192
1841,5.5,9.02%,0.0049,0.02451911
1841 Sum,,,,0.02451911
1842,2.42,12.57%,0.0018,0.0038084508
1842 Sum,,,,0.0038084508
1843,5.65,11.15%,0.0098,0.049196245
1843 Sum,,,,0.049196245
1844,7.92,5.15%,0.0067,0.050331204
1844 Sum,,,,0.050331204
1845,18.33,25.75%,0.0041,0.0558011025
1845 Sum,,,,0.0558011025
1846,16.96,6.27%,0.0005,0.007948304
1846 Sum,,,,0.007948304
1847,2.84,9.82%,0.0042,0.0107566704
1847 Sum,,,,0.0107566704
1848,12.67,38.24%,0.0002,0.0015649984
1848 Sum,,,,0.0015649984
1849,24.54,32.79%,0.0085,0.140193339
1849 Sum,,,,0.140193339
1850,5.38,5.91%,0.002,0.010124084
1850 Sum,,,,0.010124084
1851,1.1,24.50%,0.0092,0.0076406
1851 Sum,,,,0.0076406
1852,11.49,1.96%,0.0013,0.0146442348
1852 Sum,,,,0.0146442348
1853,21.04,37.62%,0.0027,0.0354368304
1853 Sum,,,,0.0354368304
1854,16.69,21.72%,0.0016,0.0209038912
1854 Sum,,,,0.0209038912
1855,11.62,18.12%,0.0067,0.0637468552
1855 Sum,,,,0.0637468552
1856,3.89,6.46%,0.0026,0.0094606356
1856 Sum,,,,0.0094606356
1857,24.28,29.30%,0.0055,0.09441278
1857 Sum,,,,0.09441278
1858,21.96,17.77%,0.0003,0.0054173124
1858 Sum,,,,0.0054173124
1859,6.3,17.62%,0.0042,0.021797748
1859 Sum,,,,0.021797748
1860,3.63,13.08%,0.0091,0.0287122836
1860 Sum,,,,0.0287122836
1861,6.26,37.50%,0.0027,0.01056375
1861 Sum,,,,0.01056375
1862,20.63,13.81%,0.0023,0.0408962931
1862 Sum,,,,0.0408962931
1863,8.36,1.22%,0.0096,0.0792768768
1863 Sum,,,,0.0792768768
1864,16.68,21.68%,0.009,0.117573984
1864 Sum,,,,0.117573984
1865,20.65,28.85%,0.0001,0.0014692475
1865 Sum,,,,0.0014692475
1866,12.73,32.27%,0.0097,0.0836336813
1866 Sum,,,,0.0836336813
1867,0.35,37.20%,0.0074,0.00162652
1867 Sum,,,,0.00162652
1868,1.23,30.00%,0.0097,0.0083517
1868 Sum,,,,0.0083517
1869,23.13,28.03%,0.0079,0.1315086219
1869 Sum,,,,0.1315086219
1870,8.61,17.51%,0.0048,0.0340914672
1870 Sum,,,,0.0340914672
1871,24.71,3.95%,0.0013,0.0308541415
1871 Sum,,,,0.0308541415
1872,7.05,4.70%,0.0099,0.066514635
1872 Sum,,,,0.066514635
1873,2.49,37.60%,0.0029,0.004505904
1873 Sum,,,,0.004505904
1874,14.61,6.06%,0.0004,0.0054898536
1874 Sum,,,,0.0054898536
1875,0.2,30.36%,0.0008,0.000111424
1875 Sum,,,,0.000111424
1876,19.41,28.96%,0.0062,0.0854909568
1876 Sum,,,,0.0854909568
1877,18.89,7.36%,0.0042,0.0734987232
1877 Sum,,,,0.0734987232
1878,6.24,16.93%,0.0026,0.0134772768
1878 Sum,,,,0.0134772768
1879,6.12,7.53%,0.0087,0.0492347268
1879 Sum,,,,0.0492347268
1880,21.05,20.89%,0.0036,0.059949558
1880 Sum,,,,0.059949558
1881,20.56,36.05%,0.0021,0.027611052
1881 Sum,,,,0.027611052
1882,15.6,0.81%,0.0055,0.08510502
1882 Sum,,,,0.08510502
1883,19.1,28.15%,0.0067,0.091946445
1883 Sum,,,,0.091946445
1884,21.96,12.67%,0.0059,0.1131482412
1884 Sum,,,,0.1131482412
1885,17.12,30.68%,0.0016,0.0189881344
1885 Sum,,,,0.0189881344
1886,6.4,17.35%,0.0076,0.04020096
1886 Sum,,,,0.04020096
1887,15.99,3.65%,0.004,0.06162546
1887 Sum,,,,0.06162546
1888,1.74,18.00%,0.0095,0.0135546
1888 Sum,,,,0.0135546
1889,16.42,24.59%,0.0083,0.1027732726
1889 Sum,,,,0.1027732726
1890,13.15,5.42%,0.0013,0.016168451
1890 Sum,,,,0.016168451
1891,12.49,20.41%,0.0091,0.0904611981
1891 Sum,,,,0.0904611981
1892,10.29,9.53%,0.0009,0.0083784267
1892 Sum,,,,0.0083784267
1893,4.34,3.74%,0.0059,0.0246483356
1893 Sum,,,,0.0246483356
1894,15.75,1.19%,0.0025,0.0389064375
1894 Sum,,,,0.0389064375
1895,13.95,17.40%,0.0031,0.03572037
1895 Sum,,,,0.03572037
1896,2.81,13.11%,0.0025,0.0061040225
1896 Sum,,,,0.0061040225
1897,2.32,23.75%,0.0084,0.0148596
1897 Sum,,,,0.0148596
1898,4.87,10.33%,0.0093,0.0406124397
1898 Sum,,,,0.0406124397
1899,5.5,11.83%,0.0049,0.023761815
1899 Sum,,,,0.023761815
1900,19.58,17.91%,0.0093,0.1494809646
1900 Sum,,,,0.1494809646
1901,24.31,13.16%,0.0059,0.1245537436
1901 Sum,,,,0.1245537436
1902,14.14,24.52%,0.0029,0.0309513288
1902 Sum,,,,0.0309513288
1903,4.79,37.96%,0.0074,0.0219906984
1903 Sum,,,,0.0219906984
1904,18.27,38.31%,0.0092,0.1036910196
1904 Sum,,,,0.1036910196
1905,22.67,1.92%,0.01,0.22234736
1905 Sum,,,,0.22234736
1906,10.88,14.75%,0.0019,0.01762288
1906 Sum,,,,0.01762288
1907,15.05,11.80%,0.0065,0.08628165
1907 Sum,,,,0.08628165
1908,10.22,10.32%,0.0069,0.0632405424
1908 Sum,,,,0.0632405424
1909,1.1,20.06%,0.0074,0.006507116
1909 Sum,,,,0.006507116
1910,7.71,10.10%,0.0096,0.066540384
1910 Sum,,,,0.066540384
1911,21.13,20.91%,0.0044,0.0735315548
1911 Sum,,,,0.0735315548
1912,8.87,34.40%,0.0062,0.036076064
1912 Sum,,,,0.036076064
1913,8.14,20.85%,0.0098,0.063139538
1913 Sum,,,,0.063139538
1914,21.09,20.38%,0.0039,0.0654882462
1914 Sum,,,,0.0654882462
1915,21.26,37.64%,0.0013,0.0172350568
1915 Sum,,,,0.0172350568
1916,22.02,16.63%,0.008,0.146864592
1916 Sum,,,,0.146864592
1917,8.81,24.29%,0.0011,0.0073370561
1917 Sum,,,,0.0073370561
1918,21.11,36.86%,0.0069,0.0919690926
1918 Sum,,,,0.0919690926
1919,2.16,22.93%,0.0046,0.0076576752
1919 Sum,,,,0.0076576752
1920,9.49,3.22%,0.0039,0.0358192458
1920 Sum,,,,0.0358192458
1921,22.63,29.58%,0.0091,0.1450180186
1921 Sum,,,,0.1450180186
1922,1.02,5.45%,0.004,0.00385764
1922 Sum,,,,0.00385764
1923,9.29,27.45%,0.0079,0.0532451705
1923 Sum,,,,0.0532451705
1924,6.49,14.83%,0.0098,0.0541698234
1924 Sum,,,,0.0541698234
1925,10.36,2.80%,0.0069,0.069482448
1925 Sum,,,,0.069482448
1926,3.49,12.28%,0.0093,0.0284712804
1926 Sum,,,,0.0284712804
1927,19.34,36.73%,0.0059,0.0721948662
1927 Sum,,,,0.0721948662
1928,9.74,2.89%,0.0085,0.080397369
1928 Sum,,,,0.080397369
1929,6.94,18.32%,0.0003,0.0017005776
1929 Sum,,,,0.0017005776
1930,18.65,29.89%,0.006,0.07845309
1930 Sum,,,,0.07845309
1931,3.72,12.86%,0.0051,0.0165322008
1931 Sum,,,,0.0165322008
1932,7.57,38.61%,0.0065,0.0302069495
1932 Sum,,,,0.0302069495
1933,1.13,0.32%,0.0071,0.0079973264
1933 Sum,,,,0.0079973264
1934,8.01,8.74%,0.0012,0.0087719112
1934 Sum,,,,0.0087719112
1935,19.56,26.28%,0.0057,0.0821919024
1935 Sum,,,,0.0821919024
1936,3.54,36.92%,0.0045,0.010048644
1936 Sum,,,,0.010048644
1937,2.38,23.23%,0.0011,0.0020098386
1937 Sum,,,,0.0020098386
1938,16.58,32.62%,0.0066,0.0737325864
1938 Sum,,,,0.0737325864
1939,14.13,31.25%,0.0021,0.0204001875
1939 Sum,,,,0.0204001875
1940,3.98,30.26%,0.0001,0.0002775652
1940 Sum,,,,0.0002775652
1941,20.96,9.29%,0.003,0.057038448
1941 Sum,,,,0.057038448
1942,24.33,15.56%,0.0073,0.1499730396
1942 Sum,,,,0.1499730396
1943,12.46,27.27%,0.009,0.081559422
1943 Sum,,,,0.081559422
1944,16.71,8.36%,0.0089,0.1362860916
1944 Sum,,,,0.1362860916
1945,18.98,2.50%,0.0012,0.0222066
1945 Sum,,,,0.0222066
1946,20.42,7.87%,0.0046,0.0865395516
1946 Sum,,,,0.0865395516
1947,22.12,39.64%,0.0003,0.0040054896
1947 Sum,,,,0.0040054896
1948,2.94,13.22%,0.0039,0.0099501948
1948 Sum,,,,0.0099501948
1949,21.83,2.01%,0.0097,0.2074948049
1949 Sum,,,,0.2074948049
1950,10.76,20.55%,0.0072,0.061551504
1950 Sum,,,,0.061551504
1951,17.83,16.50%,0.0097,0.144414085
1951 Sum,,,,0.144414085
1952,7.23,3.03%,0.0051,0.0357557481
1952 Sum,,,,0.0357557481
1953,3.81,11.58%,0.0019,0.0064007238
1953 Sum,,,,0.0064007238
1954,7.69,20.35%,0.0079,0.0483881715
1954 Sum,,,,0.0483881715
1955,7.74,31.29%,0.0043,0.0228680622
1955 Sum,,,,0.0228680622
1956,6.58,28.53%,0.0019,0.0089351794
1956 Sum,,,,0.0089351794
1957,2.46,12.82%,0.0091,0.0195161148
1957 Sum,,,,0.0195161148
1958,22.25,0.02%,0.0027,0.060062985
1958 Sum,,,,0.060062985
1959,16.01,35.62%,0.007,0.072150666
1959 Sum,,,,0.072150666
1960,21.44,20.68%,0.0046,0.0782285568
1960 Sum,,,,0.0782285568
1961,5.57,9.18%,0.0085,0.042998729
1961 Sum,,,,0.042998729
1962,4.87,4.89%,0.0064,0.0296438848
1962 Sum,,,,0.0296438848
1963,12.4,32.46%,0.0053,0.044387288
1963 Sum,,,,0.044387288
1964,19.38,37.38%,0.0092,0.1116489552
1964 Sum,,,,0.1116489552
1965,18.3,7.80%,0.0069,0.11642094
1965 Sum,,,,0.11642094
1966,22.82,38.80%,0.0033,0.046087272
1966 Sum,,,,0.046087272
1967,2.55,35.23%,0.0085,0.0140388975
1967 Sum,,,,0.0140388975
1968,6.03,21.37%,0.0045,0.0213362505
1968 Sum,,,,0.0213362505
1969,12.21,18.55%,0.0049,0.0487307205
1969 Sum,,,,0.0487307205
1970,10.21,39.04%,0.004,0.024896064
1970 Sum,,,,0.024896064
1971,24.48,37.56%,0.0062,0.0947689344
1971 Sum,,,,0.0947689344
1972,0.55,28.35%,0.0082,0.003231415
1972 Sum,,,,0.003231415
1973,0.09,34.89%,0.007,0.000410193
1973 Sum,,,,0.000410193
1974,19.2,0.62%,0.001,0.01908096
1974 Sum,,,,0.01908096
1975,10.64,11.09%,0.0006,0.0056760144
1975 Sum,,,,0.0056760144
1976,4.89,6.52%,0.0044,0.0201131568
1976 Sum,,,,0.0201131568
1977,1.87,17.98%,0.0076,0.0116566824
1977 Sum,,,,0.0116566824
1978,22.33,16.46%,0.0045,0.083945169
1978 Sum,,,,0.083945169
1979,21.5,31.99%,0.0069,0.100892835
1979 Sum,,,,0.100892835
1980,23.28,12.83%,0.0074,0.1501695024
1980 Sum,,,,0.1501695024
1981,10.32,18.61%,0.0085,0.071395308
1981 Sum,,,,0.071395308
1982,12.49,32.59%,0.0021,0.0176809689
1982 Sum,,,,0.0176809689
1983,11.02,22.45%,0.0069,0.058967469
1983 Sum,,,,0.058967469
1984,22.49,31.65%,0.0073,0.1122149795
1984 Sum,,,,0.1122149795
1985,8.34,3.56%,0.0089,0.0715835544
1985 Sum,,,,0.0715835544
1986,19.41,31.49%,0.003,0.039893373
1986 Sum,,,,0.039893373
